TRINITY_DN23_c0_g1_i1	1907	100.000	204	0	0	250	453	204	1	1.16e-106	377
TRINITY_DN23_c0_g1_i2	2097	100.000	120	0	0	135	254	1	120	2.13e-60	222
TRINITY_DN23_c0_g2_i1	3924	100.000	139	0	0	188	326	1	139	6.22e-71	257
TRINITY_DN13_c0_g1_i1	2712	99.074	108	1	0	268	375	1	108	9.84e-52	195
TRINITY_DN13_c0_g1_i2	2712	99.074	108	1	0	268	375	1	108	1.03e-51	195
TRINITY_DN19_c0_g1_i1	3907	99.742	388	1	0	232	619	388	1	0.0	712
TRINITY_DN27_c0_g1_i1	3111	100.000	97	0	0	58	154	97	1	9.43e-48	180
TRINITY_DN21_c0_g1_i1	3747	99.204	377	3	0	50	426	1	377	0.0	680
TRINITY_DN21_c0_g1_i2	3747	99.204	377	3	0	50	426	1	377	0.0	680
TRINITY_DN21_c0_g1_i3	3747	98.408	377	5	1	50	426	1	376	0.0	662
TRINITY_DN21_c0_g1_i4	3747	99.204	377	3	0	50	426	1	377	0.0	680
TRINITY_DN21_c0_g1_i5	3747	98.916	369	4	0	1	369	9	377	0.0	660
TRINITY_DN21_c0_g1_i6	3747	99.469	377	2	0	50	426	1	377	0.0	686
TRINITY_DN21_c0_g2_i1	959	100.000	413	0	0	169	581	1	413	0.0	763
TRINITY_DN21_c0_g2_i2	959	100.000	413	0	0	169	581	1	413	0.0	763
TRINITY_DN21_c0_g2_i3	959	100.000	413	0	0	169	581	1	413	0.0	763
TRINITY_DN21_c0_g1_i7	3747	99.204	377	3	0	50	426	1	377	0.0	680
TRINITY_DN21_c0_g1_i8	3747	98.939	377	4	0	50	426	1	377	0.0	675
TRINITY_DN21_c0_g3_i1	301	99.681	313	1	0	260	572	313	1	1.05e-165	573
TRINITY_DN21_c0_g1_i9	3747	98.916	369	4	0	1	369	9	377	0.0	660
TRINITY_DN21_c0_g1_i10	3747	98.916	369	4	0	1	369	9	377	0.0	660
TRINITY_DN21_c0_g2_i4	959	100.000	413	0	0	169	581	1	413	0.0	763
TRINITY_DN12_c0_g1_i1	500	100.000	102	0	0	466	567	1	102	8.83e-50	189
TRINITY_DN18_c0_g1_i1	3848	100.000	130	0	0	104	233	1	130	4.48e-66	241
TRINITY_DN18_c0_g1_i2	3848	100.000	130	0	0	248	377	1	130	1.53e-65	241
TRINITY_DN18_c0_g1_i3	3848	100.000	130	0	0	104	233	1	130	4.54e-66	241
TRINITY_DN18_c0_g1_i4	3848	100.000	130	0	0	248	377	1	130	1.13e-65	241
TRINITY_DN8_c0_g1_i1	105	100.000	92	0	0	180	271	92	1	8.13e-45	171
TRINITY_DN11_c0_g1_i1	3688	100.000	29	0	0	114	142	1	29	7.81e-10	54.7
TRINITY_DN2_c0_g1_i1	410	100.000	94	0	0	158	251	94	1	4.74e-46	174
TRINITY_DN16_c0_g1_i1	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i2	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i3	3438	100.000	442	0	0	267	708	442	1	0.0	817
TRINITY_DN16_c0_g1_i4	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i5	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i6	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i7	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i8	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i9	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i10	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i11	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i12	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i13	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i14	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i15	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i16	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i17	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i18	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i19	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i20	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN16_c0_g1_i21	3438	100.000	442	0	0	869	1310	442	1	0.0	817
TRINITY_DN28_c0_g1_i1	2364	100.000	39	0	0	1	39	129	167	1.52e-15	73.1
TRINITY_DN15_c0_g1_i1	4812	100.000	213	0	0	1563	1775	213	1	2.12e-111	394
TRINITY_DN17_c0_g1_i1	4290	100.000	140	0	0	247	386	1	140	1.73e-71	259
TRINITY_DN17_c0_g1_i2	4290	99.286	140	1	0	206	345	1	140	7.15e-70	254
TRINITY_DN17_c0_g1_i3	4290	100.000	140	0	0	207	346	1	140	1.54e-71	259
TRINITY_DN17_c0_g1_i4	159	98.148	54	1	0	16	69	1	54	3.35e-22	95.3
TRINITY_DN17_c0_g2_i1	1008	98.810	168	2	0	25	192	168	1	7.24e-84	300
TRINITY_DN10_c0_g1_i1	2195	100.000	96	0	0	88	183	96	1	4.89e-47	178
TRINITY_DN20_c0_g1_i1	3295	99.425	174	1	0	338	511	271	98	1.25e-88	316
